CMDLINE /home/cedar/ldipalma/explore_by_example/.env/bin/python3.6 run_experiment.py
MEM 3.402344 1516011859.5991
MEM 6.105469 1516011859.6994
MEM 8.375000 1516011859.7997
MEM 11.371094 1516011859.9000
MEM 16.757812 1516011860.0004
MEM 19.343750 1516011860.1006
MEM 22.199219 1516011860.2010
MEM 25.007812 1516011860.3012
MEM 26.785156 1516011860.4015
MEM 28.222656 1516011860.5018
MEM 30.359375 1516011860.6020
MEM 32.226562 1516011860.7024
MEM 33.507812 1516011860.8026
MEM 34.546875 1516011860.9028
MEM 35.621094 1516011861.0032
MEM 38.449219 1516011861.1034
MEM 41.125000 1516011861.2037
MEM 43.425781 1516011861.3041
MEM 44.980469 1516011861.4045
MEM 46.820312 1516011861.5047
MEM 47.585938 1516011861.6051
MEM 48.304688 1516011861.7055
MEM 51.652344 1516011861.8057
MEM 53.085938 1516011861.9061
MEM 55.375000 1516011862.0064
MEM 58.777344 1516011862.1067
MEM 62.167969 1516011862.2071
MEM 64.515625 1516011862.3073
MEM 65.968750 1516011862.4076
MEM 67.593750 1516011862.5078
MEM 71.250000 1516011862.6081
MEM 73.535156 1516011862.7083
MEM 75.699219 1516011862.8087
MEM 77.593750 1516011862.9089
MEM 80.781250 1516011863.0092
MEM 81.304688 1516011863.1096
MEM 83.792969 1516011863.2098
MEM 85.753906 1516011863.3101
MEM 86.328125 1516011863.4103
MEM 88.199219 1516011863.5105
MEM 91.949219 1516011863.6108
MEM 96.332031 1516011863.7111
MEM 100.972656 1516011863.8113
MEM 105.355469 1516011863.9116
MEM 109.996094 1516011864.0119
MEM 114.328125 1516011864.1121
MEM 118.964844 1516011864.2125
MEM 123.347656 1516011864.3129
MEM 127.988281 1516011864.4133
MEM 132.628906 1516011864.5135
MEM 137.269531 1516011864.6139
MEM 141.851562 1516011864.7152
MEM 146.234375 1516011864.8155
MEM 150.875000 1516011864.9157
MEM 155.515625 1516011865.0159
MEM 159.898438 1516011865.1163
MEM 164.539062 1516011865.2166
MEM 168.921875 1516011865.3170
MEM 173.562500 1516011865.4172
MEM 178.203125 1516011865.5174
MEM 182.585938 1516011865.6177
MEM 187.226562 1516011865.7180
MEM 191.753906 1516011865.8184
MEM 196.394531 1516011865.9187
MEM 200.777344 1516011866.0190
MEM 205.417969 1516011866.1194
MEM 210.058594 1516011866.2197
MEM 214.441406 1516011866.3199
MEM 219.082031 1516011866.4201
MEM 223.464844 1516011866.5204
MEM 227.847656 1516011866.6206
MEM 232.488281 1516011866.7210
MEM 236.871094 1516011866.8214
MEM 241.253906 1516011866.9216
MEM 245.636719 1516011867.0220
MEM 250.277344 1516011867.1222
MEM 254.660156 1516011867.2226
MEM 259.300781 1516011867.3230
MEM 264.531250 1516011867.4233
MEM 272.628906 1516011867.5236
MEM 299.945312 1516011867.6238
MEM 327.015625 1516011867.7240
MEM 354.085938 1516011867.8243
MEM 380.871094 1516011867.9245
MEM 408.199219 1516011868.0249
MEM 435.203125 1516011868.1251
MEM 462.292969 1516011868.2253
MEM 489.363281 1516011868.3256
MEM 516.449219 1516011868.4260
MEM 543.292969 1516011868.5262
MEM 571.914062 1516011868.6266
MEM 613.000000 1516011868.7269
MEM 652.550781 1516011868.8271
MEM 657.261719 1516011868.9273
MEM 686.152344 1516011869.0277
MEM 717.605469 1516011869.1281
MEM 748.800781 1516011869.2284
MEM 789.277344 1516011869.3288
MEM 850.886719 1516011869.4292
MEM 864.976562 1516011869.5294
MEM 885.601562 1516011869.6297
MEM 906.156250 1516011869.7300
MEM 893.800781 1516011869.8303
MEM 895.089844 1516011869.9305
MEM 813.777344 1516011870.0309
MEM 752.015625 1516011870.1311
MEM 497.550781 1516011870.2313
MEM 349.132812 1516011870.3316
MEM 349.148438 1516011870.4318
MEM 349.148438 1516011870.5320
MEM 349.148438 1516011870.6323
MEM 386.296875 1516011870.7325
MEM 435.796875 1516011870.8329
MEM 516.429688 1516011870.9332
MEM 534.476562 1516011871.0336
MEM 552.523438 1516011871.1338
MEM 570.312500 1516011871.2342
MEM 588.359375 1516011871.3345
MEM 606.406250 1516011871.4347
MEM 624.453125 1516011871.5349
MEM 642.500000 1516011871.6353
MEM 660.546875 1516011871.7355
MEM 678.593750 1516011871.8358
MEM 696.640625 1516011871.9360
MEM 714.683594 1516011872.0364
