iter	accuracy	fscore	get_next_time	iteration_time	precision	recall	retrain_time	update_time
1	0.977917	0.187050			0.104839	0.866667		
2	0.995701	0.153846	0.002246	0.003501	0.181818	0.133333	0.000942	0.000183
3	0.997459	0.235294	0.002427	0.003620	1.000000	0.133333	0.000898	0.000172
4	0.997459	0.235294	0.002381	0.003571	1.000000	0.133333	0.000896	0.000176
5	0.997459	0.235294	0.002576	0.003861	1.000000	0.133333	0.000960	0.000186
6	0.997459	0.235294	0.002729	0.004089	1.000000	0.133333	0.001023	0.000191
7	0.997459	0.235294	0.002758	0.004101	1.000000	0.133333	0.000991	0.000197
8	0.997459	0.235294	0.002816	0.004114	1.000000	0.133333	0.000981	0.000182
9	0.997459	0.235294	0.002786	0.004039	1.000000	0.133333	0.000944	0.000180
10	0.997459	0.235294	0.004010	0.005350	1.000000	0.133333	0.001003	0.000190
11	0.997459	0.235294	0.002878	0.004126	1.000000	0.133333	0.000938	0.000182
12	0.998046	0.500000	0.003014	0.004526	1.000000	0.333333	0.001214	0.000178
13	0.997655	0.666667	0.002913	0.004155	0.571429	0.800000	0.000936	0.000179
14	0.991010	0.361111	0.003124	0.004418	0.228070	0.866667	0.000973	0.000187
15	0.993551	0.440678	0.002998	0.004218	0.295455	0.866667	0.000924	0.000176
16	0.998046	0.722222	0.003329	0.004684	0.619048	0.866667	0.001029	0.000194
17	0.999414	0.903226	0.002988	0.004218	0.875000	0.933333	0.000933	0.000175
18	0.998632	0.810811	0.002874	0.004108	0.681818	1.000000	0.000935	0.000181
19	0.994528	0.517241	0.002820	0.004041	0.348837	1.000000	0.000924	0.000178
20	0.997459	0.697674	0.002546	0.003770	0.535714	1.000000	0.000930	0.000175
21	0.998241	0.769231	0.002574	0.003785	0.625000	1.000000	0.000920	0.000173
22	0.999023	0.857143	0.002604	0.003820	0.750000	1.000000	0.000918	0.000182
23	0.999414	0.909091	0.002532	0.003738	0.833333	1.000000	0.000915	0.000174
24	0.999414	0.909091	0.002489	0.003783	0.833333	1.000000	0.000994	0.000178
25	0.999414	0.909091	0.002596	0.004056	0.833333	1.000000	0.001157	0.000180
26	0.999414	0.909091	0.002590	0.003829	0.833333	1.000000	0.000941	0.000178
27	0.998827	0.833333	0.002653	0.003899	0.714286	1.000000	0.000944	0.000181
28	1.000000	1.000000	0.002665	0.003902	1.000000	1.000000	0.000938	0.000179
29	1.000000	1.000000	0.002693	0.003981	1.000000	1.000000	0.000977	0.000182
30	1.000000	1.000000	0.002719	0.003984	1.000000	1.000000	0.000970	0.000177
31	1.000000	1.000000	0.002691	0.003973	1.000000	1.000000	0.000987	0.000178
32	1.000000	1.000000	0.002800	0.004258	1.000000	1.000000	0.001135	0.000189
33	1.000000	1.000000	0.003209	0.004630	1.000000	1.000000	0.001082	0.000194
34	1.000000	1.000000	0.003020	0.004418	1.000000	1.000000	0.001064	0.000191
35	1.000000	1.000000	0.002894	0.004271	1.000000	1.000000	0.001052	0.000187
36	1.000000	1.000000	0.003279	0.005264	1.000000	1.000000	0.001251	0.000385
37	1.000000	1.000000	0.002874	0.004255	1.000000	1.000000	0.001055	0.000189
38	1.000000	1.000000	0.003440	0.004870	1.000000	1.000000	0.001085	0.000197
39	1.000000	1.000000	0.003008	0.004689	1.000000	1.000000	0.001343	0.000197
40	1.000000	1.000000	0.003480	0.004898	1.000000	1.000000	0.001077	0.000191
41	1.000000	1.000000	0.002869	0.004253	1.000000	1.000000	0.001060	0.000187
42	1.000000	1.000000	0.003481	0.004916	1.000000	1.000000	0.001094	0.000191
43	1.000000	1.000000	0.003030	0.004716	1.000000	1.000000	0.001361	0.000190
44	1.000000	1.000000	0.003408	0.004834	1.000000	1.000000	0.001084	0.000195
45	1.000000	1.000000	0.002957	0.005164	1.000000	1.000000	0.001775	0.000294
46	1.000000	1.000000	0.003076	0.004499	1.000000	1.000000	0.001083	0.000194
47	1.000000	1.000000	0.003459	0.005046	1.000000	1.000000	0.001134	0.000219
48	1.000000	1.000000	0.002930	0.004323	1.000000	1.000000	0.001059	0.000192
49	1.000000	1.000000	0.003511	0.004986	1.000000	1.000000	0.001122	0.000202
50	1.000000	1.000000	0.003013	0.004410	1.000000	1.000000	0.001069	0.000191
51	1.000000	1.000000	0.003492	0.004946	1.000000	1.000000	0.001107	0.000197
52	1.000000	1.000000	0.003083	0.004882	1.000000	1.000000	0.001364	0.000269
53	1.000000	1.000000	0.003485	0.004935	1.000000	1.000000	0.001106	0.000198
54	1.000000	1.000000	0.002959	0.004880	1.000000	1.000000	0.001595	0.000190
55	1.000000	1.000000	0.003451	0.004910	1.000000	1.000000	0.001111	0.000199
56	1.000000	1.000000	0.002983	0.005173	1.000000	1.000000	0.001812	0.000192
57	1.000000	1.000000	0.003296	0.004800	1.000000	1.000000	0.001104	0.000201
58	1.000000	1.000000	0.003376	0.005334	1.000000	1.000000	0.001325	0.000417
59	1.000000	1.000000	0.003021	0.004480	1.000000	1.000000	0.001125	0.000195
60	1.000000	1.000000	0.003803	0.005331	1.000000	1.000000	0.001171	0.000207
61	1.000000	1.000000	0.003121	0.005047	1.000000	1.000000	0.001591	0.000195
62	1.000000	1.000000	0.003597	0.005090	1.000000	1.000000	0.001150	0.000197
63	1.000000	1.000000	0.003210	0.005460	1.000000	1.000000	0.001802	0.000310
64	1.000000	1.000000	0.003147	0.004566	1.000000	1.000000	0.001085	0.000195
65	1.000000	1.000000	0.003813	0.005289	1.000000	1.000000	0.001132	0.000198
66	1.000000	1.000000	0.003131	0.004869	1.000000	1.000000	0.001406	0.000192
67	1.000000	1.000000	0.003572	0.005067	1.000000	1.000000	0.001150	0.000197
68	1.000000	1.000000	0.003145	0.005165	1.000000	1.000000	0.001699	0.000186
69	1.000000	1.000000	0.003636	0.005104	1.000000	1.000000	0.001126	0.000197
70	1.000000	1.000000	0.003785	0.005441	1.000000	1.000000	0.001185	0.000223
71	1.000000	1.000000	0.003260	0.004723	1.000000	1.000000	0.001136	0.000191
72	1.000000	1.000000	0.003735	0.005234	1.000000	1.000000	0.001157	0.000196
73	1.000000	1.000000	0.003224	0.005855	1.000000	1.000000	0.001939	0.000423
74	1.000000	1.000000	0.003252	0.004677	1.000000	1.000000	0.001094	0.000193
75	1.000000	1.000000	0.003914	0.005436	1.000000	1.000000	0.001173	0.000198
76	1.000000	1.000000	0.003252	0.004699	1.000000	1.000000	0.001119	0.000191
77	1.000000	1.000000	0.003899	0.005386	1.000000	1.000000	0.001144	0.000196
78	1.000000	1.000000	0.003111	0.004724	1.000000	1.000000	0.001295	0.000186
79	1.000000	1.000000	0.003371	0.005080	1.000000	1.000000	0.001373	0.000195
80	1.000000	1.000000	0.003262	0.004782	1.000000	1.000000	0.001194	0.000189
81	1.000000	1.000000	0.003351	0.004810	1.000000	1.000000	0.001120	0.000196
82	1.000000	1.000000	0.003150	0.004644	1.000000	1.000000	0.001173	0.000188
83	1.000000	1.000000	0.003275	0.004715	1.000000	1.000000	0.001111	0.000191
84	1.000000	1.000000	0.003132	0.004542	1.000000	1.000000	0.001103	0.000182
85	1.000000	1.000000	0.003266	0.004657	1.000000	1.000000	0.001092	0.000181
86	1.000000	1.000000	0.003616	0.005646	1.000000	1.000000	0.001405	0.000334
87	1.000000	1.000000	0.003450	0.004933	1.000000	1.000000	0.001143	0.000194
88	1.000000	1.000000	0.003268	0.004644	1.000000	1.000000	0.001070	0.000183
89	1.000000	1.000000	0.003287	0.005105	1.000000	1.000000	0.001502	0.000188
90	1.000000	1.000000	0.003332	0.004806	1.000000	1.000000	0.001149	0.000191
91	1.000000	1.000000	0.003416	0.004863	1.000000	1.000000	0.001126	0.000190
92	1.000000	1.000000	0.003394	0.004860	1.000000	1.000000	0.001146	0.000188
93	1.000000	1.000000	0.003273	0.004889	1.000000	1.000000	0.001311	0.000183
94	1.000000	1.000000	0.003260	0.004613	1.000000	1.000000	0.001052	0.000181
95	1.000000	1.000000	0.003307	0.004676	1.000000	1.000000	0.001068	0.000181
96	1.000000	1.000000	0.003288	0.004677	1.000000	1.000000	0.001092	0.000179
97	1.000000	1.000000	0.003328	0.004667	1.000000	1.000000	0.001043	0.000182
98	1.000000	1.000000	0.003503	0.005002	1.000000	1.000000	0.001177	0.000192
99	1.000000	1.000000	0.003652	0.005140	1.000000	1.000000	0.001153	0.000200
100	1.000000	1.000000	0.003275	0.004694	1.000000	1.000000	0.001115	0.000185
101	1.000000	1.000000	0.003360	0.004781	1.000000	1.000000	0.001118	0.000184
