iter	accuracy	fscore	get_next_time	iteration_time	precision	recall	retrain_time	update_time
1	0.441715	0.006815			0.003420	0.909091		
2	0.724826	0.012209	0.002900	0.004228	0.006150	0.818182	0.001004	0.000182
3	0.752881	0.013580	0.002672	0.004136	0.006847	0.818182	0.001192	0.000147
4	0.776214	0.014996	0.002929	0.004262	0.007568	0.818182	0.001018	0.000183
5	0.857359	0.023321	0.002765	0.004039	0.011829	0.818182	0.000947	0.000182
6	0.866238	0.024803	0.002831	0.004084	0.012592	0.818182	0.000944	0.000180
7	0.873984	0.026309	0.004523	0.006216	0.013370	0.818182	0.001226	0.000276
8	0.884753	0.028671	0.002818	0.004168	0.014591	0.818182	0.000982	0.000233
9	0.892877	0.030790	0.002979	0.004405	0.015690	0.818182	0.001103	0.000186
10	0.904591	0.035263	0.002852	0.004109	0.018030	0.818182	0.000941	0.000182
11	0.914226	0.038720	0.003046	0.004370	0.019837	0.818182	0.000996	0.000190
12	0.931985	0.045287	0.002925	0.004201	0.023328	0.772728	0.000963	0.000180
13	0.940015	0.052515	0.003161	0.004621	0.027397	0.681818	0.001048	0.000213
14	0.943416	0.055579	0.003612	0.005261	0.029069	0.681818	0.001191	0.000276
15	0.946344	0.061653	0.003532	0.006612	0.032457	0.681818	0.002620	0.000286
16	0.951540	0.075912	0.003407	0.005383	0.040794	0.636363	0.001587	0.000215
17	0.956357	0.070335	0.003510	0.005506	0.038708	0.500000	0.001590	0.000247
18	0.959569	0.073192	0.003697	0.005824	0.040386	0.500000	0.001449	0.000424
19	0.962970	0.074279	0.003278	0.005241	0.043244	0.409091	0.001517	0.000247
20	0.967976	0.064753	0.003760	0.005526	0.068769	0.227273	0.001329	0.000262
21	0.967977	0.086890	0.003142	0.005108	0.053953	0.318182	0.001438	0.000393
22	0.973267	0.091005	0.003736	0.005528	0.059261	0.227273	0.001432	0.000220
23	0.995466	0.106383	0.003364	0.005300	0.069445	0.227272	0.001275	0.000336
24	0.996505	0.157894	0.003799	0.005664	0.111111	0.272728	0.001508	0.000223
25	0.997922	0.076923	0.004309	0.006204	0.250000	0.045455	0.001442	0.000255
26	0.997922	0.000000	0.003719	0.005495	0.000000	0.000000	0.001254	0.000379
27	0.996883	0.041667	0.003909	0.006084	0.038462	0.045455	0.001666	0.000300
28	0.998017	0.083334	0.004150	0.006112	0.500000	0.045455	0.001521	0.000269
29	0.998772	0.600000	0.004396	0.006117	0.928571	0.454546	0.001234	0.000315
30	0.996694	0.570213	0.004289	0.006656	0.555555	0.727273	0.001871	0.000322
31	0.998866	0.647619	0.004813	0.006501	0.900000	0.545454	0.001340	0.000201
32	0.997543	0.597168	0.004444	0.006635	0.553846	0.727273	0.001724	0.000265
33	0.998960	0.714286	0.004943	0.006681	0.828572	0.636364	0.001329	0.000232
34	0.998866	0.675070	0.006653	0.009240	0.816666	0.590909	0.002051	0.000317
35	0.999149	0.780953	0.004981	0.006904	0.844445	0.727273	0.001465	0.000273
36	0.998677	0.588235	0.005041	0.006919	0.833333	0.454545	0.001417	0.000295
37	0.998300	0.266666	0.004933	0.006948	0.500000	0.181818	0.001430	0.000271
38	0.998017	0.083334	0.004068	0.005384	0.500000	0.045455	0.001009	0.000182
39	0.997922	0.000000	0.004334	0.005692	0.000000	0.000000	0.001047	0.000183
40	0.997922	0.000000	0.004143	0.005674	0.000000	0.000000	0.001226	0.000180
41	0.997922	0.000000	0.006295	0.008571	0.000000	0.000000	0.001798	0.000271
42	0.997922	0.000000	0.004557	0.006007	0.000000	0.000000	0.001126	0.000188
43	0.997922	0.000000	0.004168	0.005615	0.000000	0.000000	0.001136	0.000186
44	0.997922	0.000000	0.004170	0.005676	0.000000	0.000000	0.001192	0.000184
45	0.997922	0.000000	0.004220	0.005628	0.000000	0.000000	0.001105	0.000182
46	0.997922	0.000000	0.004351	0.005736	0.000000	0.000000	0.001072	0.000184
47	0.997922	0.000000	0.004235	0.005694	0.000000	0.000000	0.001150	0.000184
48	0.997922	0.000000	0.004300	0.005701	0.000000	0.000000	0.001089	0.000184
49	0.997922	0.000000	0.004273	0.005773	0.000000	0.000000	0.001197	0.000181
50	0.997922	0.000000	0.004311	0.005740	0.000000	0.000000	0.001110	0.000188
51	0.997922	0.000000	0.004428	0.005876	0.000000	0.000000	0.001125	0.000192
52	0.997922	0.000000	0.004287	0.005731	0.000000	0.000000	0.001130	0.000186
53	0.997922	0.000000	0.004412	0.005881	0.000000	0.000000	0.001142	0.000193
54	0.997922	0.000000	0.004814	0.006511	0.000000	0.000000	0.001324	0.000233
55	0.997922	0.000000	0.004495	0.006042	0.000000	0.000000	0.001216	0.000195
56	0.997922	0.000000	0.004339	0.005776	0.000000	0.000000	0.001123	0.000186
57	0.997922	0.000000	0.004666	0.006496	0.000000	0.000000	0.001492	0.000199
58	0.997922	0.000000	0.004579	0.006129	0.000000	0.000000	0.001209	0.000201
59	0.997922	0.000000	0.004579	0.006151	0.000000	0.000000	0.001200	0.000205
60	0.997922	0.000000	0.004351	0.005947	0.000000	0.000000	0.001279	0.000190
61	0.997922	0.000000	0.004354	0.005814	0.000000	0.000000	0.001138	0.000190
62	0.997922	0.000000	0.004478	0.006096	0.000000	0.000000	0.001288	0.000194
63	0.997922	0.000000	0.004440	0.005935	0.000000	0.000000	0.001175	0.000189
64	0.997922	0.000000	0.004412	0.005899	0.000000	0.000000	0.001167	0.000191
65	0.997922	0.000000	0.004389	0.006023	0.000000	0.000000	0.001183	0.000286
66	0.997922	0.000000	0.004673	0.006172	0.000000	0.000000	0.001171	0.000195
67	0.997922	0.000000	0.004504	0.005993	0.000000	0.000000	0.001168	0.000189
68	0.997922	0.000000	0.004471	0.006108	0.000000	0.000000	0.001324	0.000186
69	0.997922	0.000000	0.004716	0.006265	0.000000	0.000000	0.001218	0.000196
70	0.997922	0.000000	0.004443	0.006129	0.000000	0.000000	0.001347	0.000188
71	0.997922	0.000000	0.005075	0.006762	0.000000	0.000000	0.001354	0.000196
72	0.997922	0.000000	0.004633	0.006123	0.000000	0.000000	0.001168	0.000189
73	0.997922	0.000000	0.004516	0.006029	0.000000	0.000000	0.001197	0.000187
74	0.997922	0.000000	0.004553	0.006025	0.000000	0.000000	0.001151	0.000189
75	0.997922	0.000000	0.004483	0.006164	0.000000	0.000000	0.001204	0.000311
76	0.997922	0.000000	0.004548	0.006236	0.000000	0.000000	0.001362	0.000189
77	0.997922	0.000000	0.004622	0.006329	0.000000	0.000000	0.001375	0.000193
78	0.997922	0.000000	0.004724	0.006415	0.000000	0.000000	0.001305	0.000249
79	0.997922	0.000000	0.004570	0.006160	0.000000	0.000000	0.001272	0.000187
80	0.997922	0.000000	0.004560	0.006083	0.000000	0.000000	0.001203	0.000190
81	0.997922	0.000000	0.004581	0.006093	0.000000	0.000000	0.001195	0.000188
82	0.997922	0.000000	0.004593	0.006118	0.000000	0.000000	0.001203	0.000190
83	0.997922	0.000000	0.004611	0.006168	0.000000	0.000000	0.001208	0.000217
84	0.997922	0.000000	0.004700	0.006327	0.000000	0.000000	0.001304	0.000189
85	0.997922	0.000000	0.004660	0.006208	0.000000	0.000000	0.001224	0.000192
86	0.997922	0.000000	0.004853	0.006538	0.000000	0.000000	0.001342	0.000201
87	0.997922	0.000000	0.004610	0.006146	0.000000	0.000000	0.001213	0.000191
88	0.997922	0.000000	0.004613	0.006162	0.000000	0.000000	0.001231	0.000188
89	0.997922	0.000000	0.004842	0.006569	0.000000	0.000000	0.001387	0.000197
90	0.997922	0.000000	0.004712	0.006379	0.000000	0.000000	0.001341	0.000193
91	0.997922	0.000000	0.004757	0.006332	0.000000	0.000000	0.001246	0.000195
92	0.997922	0.000000	0.004753	0.006276	0.000000	0.000000	0.001198	0.000192
93	0.997922	0.000000	0.004748	0.006287	0.000000	0.000000	0.001218	0.000190
94	0.997922	0.000000	0.004811	0.006434	0.000000	0.000000	0.001300	0.000190
95	0.997922	0.000000	0.004770	0.006408	0.000000	0.000000	0.001315	0.000191
96	0.997922	0.000000	0.005873	0.007924	0.000000	0.000000	0.001685	0.000224
97	0.997922	0.000000	0.004922	0.006530	0.000000	0.000000	0.001272	0.000195
98	0.997922	0.000000	0.004810	0.006491	0.000000	0.000000	0.001356	0.000193
99	0.997922	0.000000	0.005857	0.007677	0.000000	0.000000	0.001439	0.000225
100	0.997922	0.000000	0.005124	0.007232	0.000000	0.000000	0.001532	0.000387
101	0.997922	0.000000	0.005111	0.006714	0.000000	0.000000	0.001268	0.000198
